bank,year,metric_name,val,unit,source_chunk_id,confidence_level,needs_review,confidence_reason,review_action,review_note,orig_val,orig_unit,orig_source_chunk_id,review_model,bucket
1stSourceBank_991340,2024,NII,"$ 20,393",thousand,k=1stSourceBank_991340|stem=c9dcb045-d5d8-481a-879f-524e37608ef2pdf|chunk=124,medium,0,small_gap:0.006,skip_by_confidence,confidence_not_low,,,,qwen3:8b,ok
1stSourceBank_991340,2024,NIM,3.63,%,[k=1stSourceBank_991340|stem=c9dcb045-d5d8-481a-879f-524e37608ef2pdf|chunk=128],medium,0,small_gap:0.008,skip_by_confidence,confidence_not_low,,,,qwen3:8b,ok
1stSourceBank_991340,2024,Provision for Credit Losses,"12,466",thousand,[k=1stSourceBank_991340|stem=c9dcb045-d5d8-481a-879f-524e37608ef2pdf|chunk=203],high,0,rule_ok,skip_by_confidence,confidence_not_low,,,,qwen3:8b,ok
1stSourceBank_991340,2024,ROA,1.52,%,[k=1stSourceBank_991340|stem=c9dcb045-d5d8-481a-879f-524e37608ef2pdf|chunk=23],medium,0,small_gap:0.001,skip_by_confidence,confidence_not_low,,,,qwen3:8b,ok
1stSourceBank_991340,2024,ROE,12.54,%,[k=1stSourceBank_991340|stem=c9dcb045-d5d8-481a-879f-524e37608ef2pdf|chunk=23],medium,0,small_gap:0.001,skip_by_confidence,confidence_not_low,,,,qwen3:8b,ok
Ally_3284070,2024,NII,-27,dollars,k=Ally_3284070|stem=2024-10kpdf|chunk=340,medium,0,small_gap:0.012,skip_by_confidence,not_in_review_scope,,,,qwen3:8b,ok
Ally_3284070,2024,NIM,3.27,%,[k=Ally_3284070|stem=2024-10kpdf|chunk=498],medium,0,small_gap:0.000,skip_by_confidence,not_in_review_scope,,,,qwen3:8b,ok
Ally_3284070,2024,Provision for Credit Losses,287,million,[k=Ally_3284070|stem=2024-10kpdf|chunk=282],high,0,rule_ok,skip_by_confidence,not_in_review_scope,,,,qwen3:8b,ok
Ally_3284070,2024,ROA,NOT FOUND,NOT FOUND,NOT FOUND,low,1,low_score:0.580;small_gap:0.006,reject,"The provided chunk does not contain explicit ROA value. The text mentions noninterest expenses, income from operations, and tax expense, but no direct ROA calculation or value is present.",0.35,%,[k=Ally_3284070|stem=2024-10kpdf|chunk=269],qwen3:8b,llm_review_rejected
Ally_3284070,2024,ROE,8.5,%,[k=Ally_3284070|stem=2024-10kpdf|chunk=3],low,1,small_gap:0.006;weak_metric_keyword,keep,"The chunk explicitly states '4.8% GAAP Return on Equity 8.5% Core ROTCE', confirming ROE as 8.5%.",,,,qwen3:8b,ok
AlwaysOurBest_90328,2024,NII,"$ 3,872",thousand,k=AlwaysOurBest_90328|stem=642a04d1-43da-4ae1-8ef0-fa96978881aapdf|chunk=110,medium,0,small_gap:0.005,skip_by_confidence,confidence_not_low,,,,qwen3:8b,ok
AlwaysOurBest_90328,2024,NIM,3.82,%,[k=AlwaysOurBest_90328|stem=ARS-Skyline-Bankshares-2024-Annual-Reportpdf|chunk=153],high,0,rule_ok,skip_by_confidence,confidence_not_low,,,,qwen3:8b,ok
AlwaysOurBest_90328,2024,Provision for Credit Losses,1.1,million,[k=AlwaysOurBest_90328|stem=642a04d1-43da-4ae1-8ef0-fa96978881aapdf|chunk=106],medium,0,small_gap:0.006,skip_by_confidence,confidence_not_low,,,,qwen3:8b,ok
AlwaysOurBest_90328,2024,ROA,0.67,%,[k=AlwaysOurBest_90328|stem=642a04d1-43da-4ae1-8ef0-fa96978881aapdf|chunk=95],high,0,rule_ok,skip_by_confidence,confidence_not_low,,,,qwen3:8b,ok
